text,sentiment
"Checking messages from Vegas, kind of hate Virgin, my coverage is simply bad",1
"Using iPad this morning, kind of hate the camera, it is bad",1
"Just got Nexus this morning, quite like its screen, it is amazing",4
"Just received Nexus today, sort of like its screen, it is awesome",3
"Playing with Galaxy this morning,  have no idea about the camera, it is really alright",2
"Trying to connect from San Francisco, quite like AT&T, the coverage is just good",4
"Checking Nexus today,  have no idea about the screen, it is alright",2
"Making call from San Francisco, sort of like T-Mobile, the coverage is really awesome",3
"Texting from Seattle,  have no idea about Telecom, my speed is really okey",2
"Using Kindle tonight, sort of like the battery, it is really good",3
"Browsing from San Francisco,  have no idea about AT&T, my coverage is simply so so",2
"Using iPhone tonight, a little bit like the screen, it is really awesome",3
"Checking messages from San Diego, sort of like Virgin, my speed is simply amazing",3
"Checking messages from New York, a little bit like T-Mobile, my speed is really amazing",3
"Just got XPeria tonight, extremely hate the microphone, it is terrible",0
"Trying to connect from Newport, extremely hate Cellcom, my coverage is just terrible",0
"Using iPad tonight,  have no idea about the camera, it is just alright",2
"Checking messages from Vegas,  have no idea about Telecom, my service is simply so so",2
"Making call from San Francisco, extremely dislike Verizon, my service is simply terrible",0
"Just received Nexus tonight, extremely dislike the screen, it is just bad",0
"Just got Surface this morning, sort of like its screen, it is amazing",3
"Trying to connect from Los Angeles, sort of like Verizon, the coverage is just good",3
"Making call from New York,  have no idea about Verizon, my speed is just so so",2
"Browsing from San Francisco, quite like T-Mobile, my speed is just awesome",4
"Just received iPhone tonight,  have no idea about the screen, it is really alright",2
"Trying to connect from Los Angeles,  have no idea about Verizon, the coverage is simply alright",2
"Checking Nexus today, quite like the size, it is really amazing",4
"Just got Surface this morning,  have no idea about its screen, it is so so",2
"Just received iPad this morning,  have no idea about the battery, it is so so",2
"Playing with Kindle tonight, extremely like its camera, it is awesome",4
"Playing with Surface today, extremely dislike its size, it is just bad",0
"Just received Nexus today,  have no idea about its screen, it is really alright",2
"Making call from Vegas,  have no idea about Virgin, my coverage is just alright",2
"Using iPohne tonight, extremely like the screen, it is just good",4
"Just got iPhone tonight, quite dislike the screen, it is really bad",0
"Texting from San Diego, extremely like Virgin, the coverage is really amazing",4
"Checking Lumia today, kind of love its resolution, it is really good",3
"Texting from Los Angeles, extremely dislike AT&T, the service is simply awful",0
"Using Nexus this morning, really hate its size, it is really awful",0
"Making call from San Francisco,  have no idea about T-Mobile, the speed is really alright",2
"Using iPhone today, a little bit like the size, it is awesome",3
"Checking iPhone today, quite love the size, it is really awesome",4
"Using iPhone tonight, really love its size, it is just amazing",4
"Checking messages from New York, extremely like Vreizon, my service is simply amazing",4
"Making call from Seattle, kind of dislike Sprint, my coverage is really bad",1
"Checking Surface tonight, extremely like the screen, it is just good",4
"Checking messages from Los Angeles, kind of like AT&T, the coverage is really good",3
"Playing with Nexus tonight, sort of love the size, it is awesome",3
"Checking Surface tonight, a little bit love the size, it is awesome",3
"Checking Nexus today, kind of love the size, it is amazing",3
"Checking Nexus today, kind of dislike its screen, it is just awful",1
"Texting from San Diego, really love Virgin, the speed is really awesome",4
"Browsing from Los Angeles, extremely dislike T-Mobile, my speed is simply awful",0
"Making call from San Francisco, a little bit hate T-Mobile, the service is really awful",1
"Trying to connect from Seattle, sort of love Sprint, the coverage is just amazing",3
"Just received Kindle this morning, quite hate its camera, it is just terrible",0
"Making call from San Diego, extremely hate Telecom, my service is just bad",0
"Just got Nexus today, sort of dislike its screen, it is really awful",1
"Checking messages from Los Angeles, extremely love Verizon, the coverage is simply awesome",4
"Checking messages from New York, sort of like AT&T, the service is simply awesome",3
"Checking Galaxy today, quite dislike its camera, it is just bad",0
"Just got Gylaxa today, quite hate its camera, it is just bad",0
"Playing with Nexus tonight, a little bit like the size, it is just good",3
"Checking iPad today,  have no idea about the camera, it is just okey",2
"Making call from Los Angeles, quite like Verizon, the service is simply amazing",4
"Checking messages from San Diego, really dislike Virgin, my service is just awful",0
"Texting from New York, sort of dislike T-Mobile, the service is just terrible",1
"Using Surface today,  have no idea about the size, it is really alright",2
"Using iPhone tonight, extremely like the screen, it is really good",4
"Using Surface tonight, a little bit love its screen, it is just good",3
"Checking Surface tonight, kind of love the screen, it is just good",3
"Playing with iPhone today, quite love the screen, it is really amazing",4
"Checking Nexus this morning, really like its screen, it is just good",4
"Just received Surface today, quite dislike its screen, it is just awful",0
"Texting from New York, quite hate Verizon, my service is really awful",0
"Checking messages from San Francisco, a little bit dislike AT&T, my service is just bad",1
"Playing with Lumia tonight, really love its resolution, it is awesome",4
"Texting from Los Angeles, sort of like AT&T, the speed is just good",3
"Browsing from Los Angeles,  have no idea about Verizon, my service is simply okey",2
"Checking messages from San Diego, sort of love Telecom, my coverage is really amazing",3
"Texting from Miami, sort of love DTC, my coverage is really amazing",3
"Browsing from New York, a little bit hate Verizon, the coverage is simply terrible",1
"Checking messages from New York,  have no idea about AT&T, the coverage is simply average",2
"Texting from Los Angeles, a little bit dislike AT&T, the coverage is really terrible",1
"Checking Surface this morning, quite dislike its screen, it is just awful",0
"Trying to connect from New York, quite dislike AT&T, the speed is just awful",0
"Just got iPhone this morning, really like its size, it is good",4
"Using Nexus this morning, a little bit hate its screen, it is awful",1
"Using Galaxy today, a little bit dislike its battery, it is just bad",1
"Just got Kindle this morning, really love its camera, it is really amazing",4
"Texting from New York, quite like Verizon, the speed is really good",4
"Trying to connect from New York, sort of love T-Mobile, the coverage is just good",3
"Making call from San Diego, quite love Telecom, the service is really amazing",4
"Playing with Kindle tonight,  have no idea about the battery, it is just alright",2
"Just got Nexus today, really dislike the screen, it is really awful",0
"Making call from Los Angeles, kind of hate AT&T, the service is just awful",1
"Playing with Nexus today,  have no idea about its screen, it is just so so",2
"Just received Nexus this morning, a little bit hate its size, it is just awful",1
"Browsing from Vegas, a little bit hate Virgin, my speed is really bad",1
"Playing with Surface today, quite dislike its screen, it is terrible",0
"Texting from New York, extremely like AT&T, the service is simply good",4
"Browsing from New York, kind of hate AT&T, my service is simply terrible",1
"Trying to connect from Los Angeles, sort of love T-Mabile, the coverage is really good",3
"Browsing from New York,  have no idea about T-Mobile, my coverage is really average",2
"Making call from Los Angeles,  have no idea about AT&T, the speed is really okey",2
"Just got Surface tonight, extremely dislike its size, it is bad",0
"Trying to connect from San Francisco, sort of love AT&T, my service is just amazing",3
"Checking messages from Seattle, really dislike Sprint, my speed is simply terrible",0
"Browsing from San Francisco, really dislike T-Mobile, the coverage is really bad",0
"Playing with hPione today, extremely hate its size, it is terrible",0
"Just received iPad today, sort of like the battery, it is just amazing",3
"Using iPad today,  have no idea about its battery, it is just alright",2
"Making call from New York, really love T-Mobile, the coverage is simply good",4
"Just got Nexus tonight, a little bit hate its screen, it is really bad",1
"Checking messages from Miami,  have no idea about miSpot, the coverage is simply average",2
